doi,abstract,title,source_display_name,cluster_id,confidence,secondary_cluster_id,secondary_confidence,reasoning,psychology_field_id,psychology_field_confidence,psychology_secondary_field_id,psychology_secondary_field_confidence,psychology_field_reasoning,field_id,field_confidence,secondary_field_id,secondary_field_confidence,field_reasoning
10.1073/pnas.1601280113,"Humans frequently cooperate without carefully weighing the costs and benefits. As a result, people may wind up cooperating when it is not worthwhile to do so. Why risk making costly mistakes? Here, we present experimental evidence that reputation concerns provide an answer: people cooperate in an uncalculating way to signal their trustworthiness to observers. We present two economic game experiments in which uncalculating versus calculating decision-making is operationalized by either a subject's choice of whether to reveal the precise costs of cooperating (Exp. 1) or the time a subject spends considering these costs (Exp. 2). In both experiments, we find that participants are more likely to engage in uncalculating cooperation when their decision-making process is observable to others. Furthermore, we confirm that people who engage in uncalculating cooperation are perceived as, and actually are, more trustworthy than people who cooperate in a calculating way. Taken together, these data provide the first empirical evidence, to our knowledge, that uncalculating cooperation is used to signal trustworthiness, and is not merely an efficient decision-making strategy that reduces cognitive costs. Our results thus help to explain a range of puzzling behaviors, such as extreme altruism, the use of ethical principles, and romantic love.",Uncalculating cooperation is used to signal trustworthiness,Proceedings of the National Academy of Sciences,economics_business,0.78,psychology,0.42,"We need to classify. Journal is PNAS, multidisciplinary. Use title/abstract. The article is about cooperation, trustworthiness, signaling, using economic game experiments. It involves experimental economics, but framed in terms of reputation concerns, trustworthiness, signaling. It uses economic games, but the framing is about trust, cooperation, social behavior. Could be psychology (social psychology) or economics (behavioral/experimental economics). The cluster definitions: ""Economics & Business"" includes behavioural/experimental economics when framed with economic constructs (utility, incentives, markets, game theory). Here they use economic game experiments, talk about costs, benefits, reputation concerns, signaling. That's economic framing. However also about trustworthiness, social signaling, could be social psychology. The note: ""EXCLUSION: General JDM (heuristics, biases) without economic framing → Psychology (Cognitive)."" Here there is economic framing (games, costs). So likely Economics & Business. Also could be Psychology (social). But primary cluster likely economics. Confidence maybe 0.75. Secondary maybe psychology? Since it's about trustworthiness and signaling, social psychology. Provide secondary cluster id ""psychology"". Confidence maybe 0.4.",social_psychology,0.86,NA,NA,"We need to classify. Article about cooperation, signaling trustworthiness, uncalculating cooperation, economic game experiments. Journal PNAS is general, but content is about social behavior, trust, signaling, reputation, cooperation. This is social psychology? Could be social psychology (trust, reputation, signaling). Also could be cognitive psychology (decision-making, uncalculating vs calculating). But focus is on reputation concerns, signaling trustworthiness to observers, social perception. So primary field likely Social Psychology. Not occupational. Not methods. Not developmental. So choose social_psychology. Confidence maybe 0.85. No secondary.",NA,NA,NA,NA,NA
10.1257/aer.102.2.834,"High-performance work systems give workers more discretion, thereby increasing effort productivity but also shirking opportunities. We show experimentally that screening for work attitude and labor market competition are causal determinants of the viability of high-performance work systems, and we identify the complementarities between discretion, rent-sharing, and screening that render them profitable. Two fundamentally distinct job designs emerge endogenously in our experiments: “bad” jobs with low discretion, low wages, and little rent-sharing, and “good” jobs with high discretion, high wages, and substantial rent-sharing. Good jobs are profitable only if employees can be screened, and labor market competition fosters their dissemination. (JEL D12, D82, J24, J31, J41, M12, M54)","Screening, Competition, and Job Design: Economic Origins of Good Jobs",American Economic Review,economics_business,0.99,NA,NA,"We need to classify based on journal title. Journal is ""American Economic Review"" which is economics. So primary cluster: economics_business. The article is about job design, screening, competition, high-performance work systems. That's economics, possibly also organizational behavior, but still economics. No need secondary. Confidence high, maybe 0.99.

Return JSON.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1037/0022-3514.94.3.545,"Reports an error in Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control by David M. Amodio, Patricia G. Devine and Eddie Harmon-Jones (Journal of Personality and Social Psychology, 2008[Jan], Vol 94[1], 60-74). In this article, there was an error in Figure 4. The corrected figure is provided in this erratum. (The following abstract of the original article appeared in record 2007-19165-005.) Low-prejudice people vary considerably in their ability to regulate intergroup responses. The authors hypothesized that this variability arises from a neural mechanism for monitoring conflict between automatic race-biased tendencies and egalitarian intentions. In Study 1, they found that low-prejudice participants whose nonprejudiced responses are motivated by internal (but not external) factors exhibited better control on a stereotype-inhibition task than did participants motivated by a combination of internal and external factors. This difference was associated with greater conflict-monitoring activity, measured by event-related potentials, when responses required stereotype inhibition. Study 2 demonstrated that group differences were specific to response control in the domain of prejudice. Results indicate that conflict monitoring, a preconscious component of response control, accounts for variability in intergroup bias among low-prejudice participants.","""Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control"": Correction to Amodio et al. (2008).",Journal of Personality and Social Psychology,psychology,0.98,NA,NA,"We need to classify this article. Journal: Journal of Personality and Social Psychology (JPSP). That's a psychology journal, specifically social psychology. So primary cluster: psychology.

The article is about intergroup bias, conflict monitoring, neural signals, social psychology. So psychology.

Confidence high, maybe 0.98.

Secondary? Could be neuroscience? But neuroscience is part of psychology (biological). Not a separate cluster. Could be sociology? No, it's about individual differences, not social structures. So no secondary.

Return JSON.",social_psychology,0.95,biological_neuropsychology,0.6,"We need to classify. The article is about intergroup bias, conflict monitoring, neural signals, individual differences. Journal is Journal of Personality and Social Psychology, which is a social psychology journal. The content deals with prejudice, intergroup bias, regulation, neural mechanisms. The primary subfield likely Social Psychology (attitudes, prejudice, intergroup bias). However there is also neural signals, which could be Biological & Neuropsychology, but the focus is on social processes (intergroup bias) and individual differences. The primary contribution is about regulation of intergroup bias, a social psychology topic. So primary field: social_psychology.

Confidence high, maybe 0.95.

Secondary? Could be biological_neuropsychology because neural signals, ERP. But the article is about social regulation, not primarily neuro. Could also be differential_personality_diagnostics (individual differences). But the main is social. The guidelines: If interdisciplinary, assign secondary. This article indeed combines social psychology (intergroup bias) with neuro (conflict monitoring). So we could assign secondary field: biological_neuropsychology. Confidence maybe 0.6.

Thus output JSON.",social_psychology,0.95,biological_neuropsychology,0.6,"We need to classify. The article is about intergroup bias, conflict monitoring, neural signals, individual differences. Journal is Journal of Personality and Social Psychology, which is a social psychology journal. The content deals with prejudice, intergroup bias, regulation, neural mechanisms. The primary subfield likely Social Psychology (attitudes, prejudice, intergroup bias). However there is also neural signals, which could be Biological & Neuropsychology, but the focus is on social processes (intergroup bias) and individual differences. The primary contribution is about regulation of intergroup bias, a social psychology topic. So primary field: social_psychology.

Confidence high, maybe 0.95.

Secondary? Could be biological_neuropsychology because neural signals, ERP. But the article is about social regulation, not primarily neuro. Could also be differential_personality_diagnostics (individual differences). But the main is social. The guidelines: If interdisciplinary, assign secondary. This article indeed combines social psychology (intergroup bias) with neuro (conflict monitoring). So we could assign secondary field: biological_neuropsychology. Confidence maybe 0.6.

Thus output JSON."
10.1037/0096-3445.136.2.241,"This research tested the hypothesis that initial efforts at executive control temporarily undermine subsequent efforts at executive control. Four experiments revealed that controlling the focus of visual attention (Experiment 1), inhibiting predominant writing tendencies (Experiment 2), taking a working memory test (Experiment 3), or exaggerating emotional expressions (Experiment 4) undermined performance on subsequent tests of working memory span, reverse digit span, and response inhibition, respectively. The results supported a limited resource model of executive control and cast doubt on competing accounts based on mood, motivation, or task difficulty. Prior efforts at executive control are a significant contextual determinant of the operation of executive processes.","Attention control, memory updating, and emotion regulation temporarily reduce the capacity for executive control.",Journal of Experimental Psychology General,psychology,0.99,NA,NA,"We need to classify this article. Journal: Journal of Experimental Psychology: General. That's a psychology journal. The article is about executive control, attention, memory, emotion regulation. So primary cluster: psychology.

Check if any secondary? It's purely psychology. No need for secondary. Confidence high, maybe 0.99.

Return JSON.",cognitive_psychology,0.96,NA,NA,"We need to classify. Article about executive control, attention control, memory updating, emotion regulation, limited resource model. Journal is Journal of Experimental Psychology: General, which is a general experimental psychology journal. Need to decide subfield: likely Cognitive Psychology (executive control, attention, memory). Could also be general but cognitive is appropriate. It's about executive functions, attention, memory, emotion regulation. That's cognitive. Not social, not clinical, not developmental, not neuro, not methods. So primary field: cognitive_psychology. Confidence high, maybe 0.95. No secondary. Return JSON.",cognitive_psychology,0.96,NA,NA,"We need to classify. Article about executive control, attention control, memory updating, emotion regulation, limited resource model. Journal is Journal of Experimental Psychology: General, which is a general experimental psychology journal. Need to decide subfield: likely Cognitive Psychology (executive control, attention, memory). Could also be general but cognitive is appropriate. It's about executive functions, attention, memory, emotion regulation. That's cognitive. Not social, not clinical, not developmental, not neuro, not methods. So primary field: cognitive_psychology. Confidence high, maybe 0.95. No secondary. Return JSON."
10.1037/a0034462,"A recurring observation of experimental psychologists is that people prefer, seek out, and even selectively ""see"" structure in their social and natural environments. Structure-seeking has been observed across a wide range of phenomena--from the detection of patterns in random arrays to affinities for order-providing political, religious, social, and scientific worldviews--and is exacerbated under psychological threat. Why are people motivated for structure? An intriguing, but untested, explanation holds that perceiving structure, even in domains unrelated to one's current behavioral context, can facilitate willingness to take goal-directed actions. Supporting this, in 5 studies, reminders of structure in nature or society increase willingness to engage in goal pursuit.",A functional basis for structure-seeking: Exposure to structure promotes willingness to engage in motivated action.,Journal of Experimental Psychology General,psychology,0.98,NA,NA,"We need to classify. Journal: Journal of Experimental Psychology: General. That's a psychology journal. Article about structure-seeking, motivated action, experimental psychology. So primary cluster: psychology.

Confidence high, maybe 0.98.

Any secondary? Could be social psychology, but still psychology. Could also be political science? It mentions political worldviews but core is psychological motivation. So no secondary.

Return JSON.",cognitive_psychology,0.86,social_psychology,0.44,"We need to classify. The article is about structure-seeking, perception of patterns, motivated action. It's about perception, motivation, goal pursuit. Likely cognitive psychology (perception, pattern detection) and maybe social psychology (social environment). But core is about cognitive processes (structure seeking) and its effect on motivation. Journal is Journal of Experimental Psychology: General, which is a general psychology journal. Need to decide subfield based on content. The article deals with perception of structure (cognitive) and motivated action (maybe motivational aspects). Could be cognitive psychology (perception, pattern detection). Also touches on social contexts but not primary. So primary field: cognitive_psychology. Confidence maybe 0.85. Secondary maybe social_psychology? The article mentions social environment, political, religious worldviews, but core is about structure seeking and goal pursuit. Could be considered cognitive with social aspects. Might assign secondary social_psychology with lower confidence 0.4. But guidelines: only assign secondary if genuinely spans two subfields. This does have social aspects but main contribution is cognitive mechanism of structure seeking. Might still assign secondary. Let's do secondary social_psychology with confidence 0.45.

Return JSON.",cognitive_psychology,0.86,social_psychology,0.44,"We need to classify. The article is about structure-seeking, perception of patterns, motivated action. It's about perception, motivation, goal pursuit. Likely cognitive psychology (perception, pattern detection) and maybe social psychology (social environment). But core is about cognitive processes (structure seeking) and its effect on motivation. Journal is Journal of Experimental Psychology: General, which is a general psychology journal. Need to decide subfield based on content. The article deals with perception of structure (cognitive) and motivated action (maybe motivational aspects). Could be cognitive psychology (perception, pattern detection). Also touches on social contexts but not primary. So primary field: cognitive_psychology. Confidence maybe 0.85. Secondary maybe social_psychology? The article mentions social environment, political, religious worldviews, but core is about structure seeking and goal pursuit. Could be considered cognitive with social aspects. Might assign secondary social_psychology with lower confidence 0.4. But guidelines: only assign secondary if genuinely spans two subfields. This does have social aspects but main contribution is cognitive mechanism of structure seeking. Might still assign secondary. Let's do secondary social_psychology with confidence 0.45.

Return JSON."
10.1177/0956797611428079,"Prior research has demonstrated that the display of agentic behaviors, such as dominance, can produce backlash against female leaders because of the incongruence between these behaviors and prescribed gender roles. The current study was designed to fill a gap in existing research by investigating whether these well-established findings are moderated by race. Results revealed that dominant Black female leaders did not create the same backlash that dominant White female leaders did. Experimental evidence confirmed that White female (and Black male) leaders were conferred lower status when they expressed dominance rather than communality, whereas Black female (and White male) leaders were not. These findings highlight the importance, and complexity, of considering the intersection of gender and race when examining penalties for and proscriptions against dominant behavior of female leaders.",Can an Agentic Black Woman Get Ahead? The Impact of Race and Interpersonal Dominance on Perceptions of Female Leaders,Psychological Science,psychology,0.98,NA,NA,"We need to classify. Journal is Psychological Science, which is a psychology journal. So primary cluster: psychology. The article deals with gender, race, leadership perceptions, social psychology. So psychology.

Check if any secondary? Could be sociology (intersectionality) but primary is psychology. Since journal is clearly psychology, we assign primary psychology. Confidence high, maybe 0.98. Secondary null.

Return JSON.",social_psychology,0.95,NA,NA,"We need to classify. Article about perceptions of female leaders, intersection of race and gender, backlash, dominance. This is about social perception, stereotypes, prejudice, group dynamics. Likely Social Psychology. Journal Psychological Science is general but article is about social perception, gender, race, leadership. Not occupational because it's about perceptions of leaders, not work-specific constructs? It mentions leaders, but not specifically workplace context; it's about perceptions of female leaders generally, could be in organizational context but the focus is on social stereotypes and backlash. The description says ""Agentic Black Woman Get Ahead? Impact of Race and Interpersonal Dominance on Perceptions of Female Leaders"". This is about social identity, stereotypes, intersectionality. So Social Psychology.

Check if any occupational criteria: Work-specific constructs like leadership, burnout, job satisfaction. Here leadership is a construct but it's about perception of leaders, not work outcomes. The article is about social perception of leaders, not about workplace functioning. So not occupational.

Thus primary field: social_psychology. Confidence high, maybe 0.95.

Secondary? Could also be differential/personality? It deals with traits like dominance, but main is social. So secondary null.

Return JSON.",social_psychology,0.95,NA,NA,"We need to classify. Article about perceptions of female leaders, intersection of race and gender, backlash, dominance. This is about social perception, stereotypes, prejudice, group dynamics. Likely Social Psychology. Journal Psychological Science is general but article is about social perception, gender, race, leadership. Not occupational because it's about perceptions of leaders, not work-specific constructs? It mentions leaders, but not specifically workplace context; it's about perceptions of female leaders generally, could be in organizational context but the focus is on social stereotypes and backlash. The description says ""Agentic Black Woman Get Ahead? Impact of Race and Interpersonal Dominance on Perceptions of Female Leaders"". This is about social identity, stereotypes, intersectionality. So Social Psychology.

Check if any occupational criteria: Work-specific constructs like leadership, burnout, job satisfaction. Here leadership is a construct but it's about perception of leaders, not work outcomes. The article is about social perception of leaders, not about workplace functioning. So not occupational.

Thus primary field: social_psychology. Confidence high, maybe 0.95.

Secondary? Could also be differential/personality? It deals with traits like dominance, but main is social. So secondary null.

Return JSON."
10.1002/jeab.705,"Researchers used a conjugate preparation to evaluate how response force changed based on participants' preferences for visual stimuli. First, researchers used a verbal preference assessment to evaluate each participant's preference for viewing for five object categories of visual stimuli; this process identified high preference (HP) stimuli and low preference stimuli for most participants. Thereafter, researchers exposed each participant to the five stimulus categories in a randomized order while using a force dynamometer to measure their response force to increase visual clarity of each stimulus. Results indicate the majority of participants' HP stimuli corresponded to the stimulus category for which they exerted the highest mean force. These preliminary findings suggest conjugate preparations involving response force may provide another option for measuring the relative value of some stimulus events.",Comparing stimulus preference and response force in a conjugate preparation,Journal of the Experimental Analysis of Behavior,psychology,0.98,NA,NA,"We need to classify. Journal: Journal of the Experimental Analysis of Behavior. That's a behavior analysis journal, typically within psychology (behavioral psychology). So cluster: psychology. The article is about stimulus preference, response force, experimental analysis of behavior. So primary cluster: psychology. Confidence high, maybe 0.98. No secondary.",cognitive_psychology,0.86,NA,NA,"We need to classify. Article about stimulus preference, response force, measuring relative value of stimulus events. Journal: Journal of the Experimental Analysis of Behavior. That's a behavior analysis journal, likely within experimental psychology, maybe cognitive? It deals with behavior, response force, preferences. Could be cognitive psychology (preference, decision, value). But also could be behavioral analysis, which is not listed. The fields: cognitive, social, clinical, developmental, biological, educational, occupational, differential/personality, methods. This is about measuring stimulus preference, response force, value. That's about basic learning, maybe cognitive? Could be cognitive psychology (preference, decision). Not social. Not clinical. Not developmental. Not biological. Not educational. Not occupational. Not differential/personality. Not methods (though they use a new method, but primary contribution is about measuring relative value, not a new method). So likely cognitive_psychology.

Confidence moderate-high, maybe 0.85.

No secondary.

Return JSON.",cognitive_psychology,0.86,NA,NA,"We need to classify. Article about stimulus preference, response force, measuring relative value of stimulus events. Journal: Journal of the Experimental Analysis of Behavior. That's a behavior analysis journal, likely within experimental psychology, maybe cognitive? It deals with behavior, response force, preferences. Could be cognitive psychology (preference, decision, value). But also could be behavioral analysis, which is not listed. The fields: cognitive, social, clinical, developmental, biological, educational, occupational, differential/personality, methods. This is about measuring stimulus preference, response force, value. That's about basic learning, maybe cognitive? Could be cognitive psychology (preference, decision). Not social. Not clinical. Not developmental. Not biological. Not educational. Not occupational. Not differential/personality. Not methods (though they use a new method, but primary contribution is about measuring relative value, not a new method). So likely cognitive_psychology.

Confidence moderate-high, maybe 0.85.

No secondary.

Return JSON."
10.1126/science.1191465,"A wealth of research has established that practice tests improve memory for the tested material. Although the benefits of practice tests are well documented, the mechanisms underlying testing effects are not well understood. We propose the mediator effectiveness hypothesis, which states that more-effective mediators (that is, information linking cues to targets) are generated during practice involving tests with restudy versus during restudy only. Effective mediators must be retrievable at time of test and must elicit the target response. We evaluated these two components of mediator effectiveness for learning foreign language translations during practice involving either test-restudy or restudy only. Supporting the mediator effectiveness hypothesis, test-restudy practice resulted in mediators that were more likely to be retrieved and more likely to elicit targets on a final test.",Why Testing Improves Memory: Mediator Effectiveness Hypothesis,Science,psychology,0.96,NA,NA,"We need to classify article. Journal is Science, multidisciplinary. Use title/abstract to decide core contribution. This is about testing effect, memory, learning, mediator effectiveness hypothesis. This is cognitive psychology, memory research. So primary cluster: psychology. Confidence high, maybe 0.95. Secondary? Could be education (learning foreign language translations). But core is cognitive psychology of memory. Could also be education if focus on learning methods. However article is about mechanisms of testing effect, which is cognitive psychology. So secondary maybe education? But guidelines: assign secondary if genuinely spans two disciplines. Here it's about learning foreign language translations, but still within psychology of learning. Education could be secondary but not necessary. I'd give primary psychology, secondary education with lower confidence 0.4 maybe. But maybe not needed. I'd set secondary null. Let's output.",cognitive_psychology,0.97,NA,NA,"We need to classify. Article about testing effect, memory, mediators, learning foreign language translations. This is about memory, learning, mechanisms of testing effect. That's cognitive psychology (memory, learning). Journal is Science, a general science journal, not specific to subfield. So we use article content. It's about memory, learning, testing effect. That's cognitive psychology. Not educational psychology because it's about foreign language translations, but not necessarily educational setting? Could be considered learning, but the focus is on memory mechanisms, not educational instruction. So cognitive psychology.

Thus primary field: cognitive_psychology. Confidence high, maybe 0.97.

No secondary field needed.

Return JSON.",cognitive_psychology,0.97,NA,NA,"We need to classify. Article about testing effect, memory, mediators, learning foreign language translations. This is about memory, learning, mechanisms of testing effect. That's cognitive psychology (memory, learning). Journal is Science, a general science journal, not specific to subfield. So we use article content. It's about memory, learning, testing effect. That's cognitive psychology. Not educational psychology because it's about foreign language translations, but not necessarily educational setting? Could be considered learning, but the focus is on memory mechanisms, not educational instruction. So cognitive psychology.

Thus primary field: cognitive_psychology. Confidence high, maybe 0.97.

No secondary field needed.

Return JSON."
10.1073/pnas.1706253114,"Economic inequality has been on the rise in the United States since the 1980s and by some measures stands at levels not seen since before the Great Depression. Although the strikingly high and rising level of economic inequality in the nation has alarmed scholars, pundits, and elected officials alike, research across the social sciences repeatedly concludes that Americans are largely unconcerned about it. Considerable research has documented, for instance, the important role of psychological processes, such as system justification and American Dream ideology, in engendering Americans' relative insensitivity to economic inequality. The present work offers, and reports experimental tests of, a different perspective-the opportunity model of beliefs about economic inequality. Specifically, two convenience samples (study 1, <i>n</i> = 480; and study 2, <i>n</i> = 1,305) and one representative sample (study 3, <i>n</i> = 1,501) of American adults were exposed to information about rising economic inequality in the United States (or control information) and then asked about their beliefs regarding the roles of structural (e.g., being born wealthy) and individual (e.g., hard work) factors in getting ahead in society (i.e., opportunity beliefs). They then responded to policy questions regarding the roles of business and government actors in reducing economic inequality. Rather than revealing insensitivity to rising inequality, the results suggest that rising economic inequality in contemporary society can spark skepticism about the existence of economic opportunity in society that, in turn, may motivate support for policies designed to redress economic inequality.",Exposure to rising inequality shapes Americans’ opportunity beliefs and policy support,Proceedings of the National Academy of Sciences,political_science,0.85,psychology,0.6,"We need to classify article. Journal: Proceedings of the National Academy of Sciences (PNAS) – multidisciplinary. Use title/abstract to decide core contribution.

The article studies exposure to rising inequality, opportunity beliefs, policy support. It uses experimental tests, psychological processes (system justification) but also focuses on economic inequality, policy support. It seems at intersection of psychology (beliefs, attitudes) and economics/political science. The core seems about public opinion, beliefs about inequality, and policy support. Could be political science (public opinion, policy support) or sociology (inequality, beliefs). But the abstract mentions psychological processes, experimental tests, opportunity model. The focus is on how exposure to inequality shapes beliefs and policy support. This is political psychology, but the framing is about policy support, which is political science. However the article uses experimental psychology methods, but the core contribution is about political attitudes and policy preferences. According to guidelines: Psychology vs Political Science: Political communication with clear political processes/institutions goes to Political Science. Here it's about policy support, not communication. It's about beliefs about inequality and support for policies. That is political science (public opinion). Could also be sociology (inequality). But the article is about individual beliefs, not structural analysis. So likely Psychology? The abstract mentions ""psychological processes"" but the main contribution is about how exposure influences beliefs and policy support. The journal is PNAS, multidisciplinary. The article likely published in PNAS under social sciences. Many PNAS articles on political attitudes are classified under Political Science. I'd assign primary cluster: political_science. Secondary maybe psychology (since psychological processes). Confidence high for primary 0.85, secondary 0.6.

Check cluster IDs: ""political_science"" and ""psychology"". Provide JSON.",social_psychology,0.92,NA,NA,"We need to classify. Article about exposure to rising inequality, opportunity beliefs, policy support. This is about attitudes, beliefs, policy support, system justification, ideology. That's social psychology (attitudes, persuasion, political attitudes). Journal PNAS is general, but content is social psychological. So primary field: social_psychology.

Confidence maybe 0.9.

Secondary? Could be political psychology, but not in list. Could be differential? No. Could be methods? No. So secondary null.

Return JSON.",NA,NA,NA,NA,NA
10.1073/pnas.1620542114,"First impressions based on facial appearance predict many important social outcomes. We investigated whether such impressions also influence the communication of scientific findings to lay audiences, a process that shapes public beliefs, opinion, and policy. First, we investigated the traits that engender interest in a scientist's work, and those that create the impression of a ""good scientist"" who does high-quality research. Apparent competence and morality were positively related to both interest and quality judgments, whereas attractiveness boosted interest but decreased perceived quality. Next, we had members of the public choose real science news stories to read or watch and found that people were more likely to choose items that were paired with ""interesting-looking"" scientists, especially when selecting video-based communications. Finally, we had people read real science news items and found that the research was judged to be of higher quality when paired with researchers who look like ""good scientists."" Our findings offer insights into the social psychology of science, and indicate a source of bias in the dissemination of scientific findings to broader society.",Facial appearance affects science communication,Proceedings of the National Academy of Sciences,psychology,0.92,media_communication_studies,0.58,"We need to classify. Journal is PNAS, multidisciplinary. Use title and abstract. The article is about facial appearance affecting science communication, focusing on social psychology of science, bias in dissemination. This is about social psychology (psychology) and also about science communication (media & communication). Could be psychology (social psychology) primary, secondary media & communication studies. Also could be science studies? It's about bias in dissemination, but it's about social psychological processes, not meta-science. So primary cluster: psychology. Secondary: media_communication_studies.

Check clusters: ""psychology"" id is ""psychology"". ""media_communication_studies"" id is ""media_communication_studies"". Provide confidence maybe 0.9 primary, 0.6 secondary.

Return JSON.",social_psychology,0.96,NA,NA,"We need to classify. Article about facial appearance affecting science communication. Focus on first impressions, traits, competence, morality, attractiveness, influence on public's interest and perceived quality. This is about social perception, stereotypes, bias, social psychology. Journal is PNAS, general. The core contribution is about social psychology of science communication, bias based on facial appearance. So primary field: social_psychology. Not occupational. Not methods. Not cognitive (though perception, but it's about social judgments). So primary = social_psychology. Confidence high, maybe 0.95. Secondary? Could also be cognitive psychology (perception, first impressions) but the main is social. Might also be ""psychology_general""? No, social is clear. So secondary null.

Return JSON.",social_psychology,0.96,NA,NA,"We need to classify. Article about facial appearance affecting science communication. Focus on first impressions, traits, competence, morality, attractiveness, influence on public's interest and perceived quality. This is about social perception, stereotypes, bias, social psychology. Journal is PNAS, general. The core contribution is about social psychology of science communication, bias based on facial appearance. So primary field: social_psychology. Not occupational. Not methods. Not cognitive (though perception, but it's about social judgments). So primary = social_psychology. Confidence high, maybe 0.95. Secondary? Could also be cognitive psychology (perception, first impressions) but the main is social. Might also be ""psychology_general""? No, social is clear. So secondary null.

Return JSON."
