doi,abstract,title,source_display_name,rationale_cluster,cluster_id,cluster_label,confidence_cluster,rationale_field,field_id,field_label,confidence_field
10.1073/pnas.1516047113,"Significance The present work examines beliefs associated with racial bias in pain management, a critical health care domain with well-documented racial disparities. Specifically, this work reveals that a substantial number of white laypeople and medical students and residents hold false beliefs about biological differences between blacks and whites and demonstrates that these beliefs predict racial bias in pain perception and treatment recommendation accuracy. It also provides the first evidence that racial bias in pain perception is associated with racial bias in pain treatment recommendations. Taken together, this work provides evidence that false beliefs about biological differences between blacks and whites continue to shape the way we perceive and treat black people—they are associated with racial disparities in pain assessment and treatment recommendations.","Racial bias in pain assessment and treatment recommendations, and false beliefs about biological differences between blacks and whites",Proceedings of the National Academy of Sciences,"The article studies individual-level racial bias, beliefs, and perception among laypeople and medical trainees, linking false biological beliefs to biased pain assessment and treatment recommendations. The core contribution is psychological (cognition, bias, perception) rather than medical intervention or health systems research, so it fits best in Psychology.",psychology,Psychology,0.9,"The article focuses on racial bias, stereotypes, and their impact on perception and judgment (pain assessment and treatment recommendations), examining false beliefs about biological differences between racial groups. These are core topics in social cognition and prejudice research, fitting squarely within social psychology rather than clinical or health psychology per se.",social_psychology,Social Psychology,0.93
10.1037/0022-3514.74.3.774,"If self-regulation conforms to an energy or strength model, then self-control should be impaired by prior exertion.In Study 1, trying to regulate one's emotional response to an upsetting movie was followed by a decrease in physical stamina.In Study 2, suppressing forbidden thoughts led to a subsequent tendency to give up quickly on unsolvable anagrams.In Study 3, suppressing thoughts impaired subsequent efforts to control the expression of amusement and enjoyment.In Study 4, autobiographical accounts of successful versus failed emotional control linked prior regulatory demands and fatigue to self-regulatory failure.A strength model of self-regulation fits the data better than activation, priming, skill, or constant capacity models of self-regulation.The capacity of the human organism to override, interrupt, and otherwise alter its own responses is one of the most dramatic and impressive functions of human selfhood, with broad implications for a wide range of behavior patterns (Carver & Scheier, 1981;Wegner & Pennebaker, 1993).For example, self-regulation has been associated with crime and criminal behavior (Gottfredson & Hirschi, 1990), smoking (Russell, 1971), and dieting (Herman & Polivy, 1975).Men with better self-control are less likely to become divorced (Kelly & Conley, 1987).Children who are better at delaying gratification tend to be calmer, to resist frustration better, to be less irritable and aggressive, to concentrate better, and to get higher grades in school than children who are less able to delay gratification (Funder & Block, 1989;Funder, Block, & Block, 1983).Additionally, children who were better able to control themselves could deal with stress better in adolescence and had higher SAT scores when applying to college (Shoda, Mischel, & Peake, 1990).It is clear that self-control is related to success in many aspects of life.Furthermore, the failure of self-control has immense personal and societal repercussions (Baumeister, Heatherton, & Tice,",Self-control as a limited resource: Regulatory depletion patterns.,Journal of Personality and Social Psychology,"The article empirically investigates self-regulation and self-control as psychological capacities using experimental studies and psychological theory, published in a core psychology journal. The focus is on individual-level cognitive and emotional processes, fitting squarely within psychology.",psychology,Psychology,1,"The article develops and tests a general strength model of self-regulation and self-control, using classic social-psychological paradigms (emotion regulation, thought suppression, persistence) and is published in Journal of Personality and Social Psychology. The focus is on self-regulation as a social-cognitive process with broad implications for behavior, fitting squarely within social psychology rather than clinical or personality diagnostics.",social_psychology,Social Psychology,0.93
10.1037/a0035663,"The social category ""children"" defines a group of individuals who are perceived to be distinct, with essential characteristics including innocence and the need for protection (Haslam, Rothschild, & Ernst, 2000). The present research examined whether Black boys are given the protections of childhood equally to their peers. We tested 3 hypotheses: (a) that Black boys are seen as less ""childlike"" than their White peers, (b) that the characteristics associated with childhood will be applied less when thinking specifically about Black boys relative to White boys, and (c) that these trends would be exacerbated in contexts where Black males are dehumanized by associating them (implicitly) with apes (Goff, Eberhardt, Williams, & Jackson, 2008). We expected, derivative of these 3 principal hypotheses, that individuals would perceive Black boys as being more responsible for their actions and as being more appropriate targets for police violence. We find support for these hypotheses across 4 studies using laboratory, field, and translational (mixed laboratory/field) methods. We find converging evidence that Black boys are seen as older and less innocent and that they prompt a less essential conception of childhood than do their White same-age peers. Further, our findings demonstrate that the Black/ape association predicted actual racial disparities in police violence toward children. These data represent the first attitude/behavior matching of its kind in a policing context. Taken together, this research suggests that dehumanization is a uniquely dangerous intergroup attitude, that intergroup perception of children is underexplored, and that both topics should be research priorities.",The essence of innocence: Consequences of dehumanizing Black children.,Journal of Personality and Social Psychology,"The article investigates intergroup perception, dehumanization, and bias toward Black boys using laboratory and field studies within a social-psychological framework, published in a core psychology journal. The focus is on individual-level attitudes and perceptions rather than social structures or institutions, so it fits Psychology rather than Sociology or Political Science.",psychology,Psychology,1,"The article investigates dehumanization, racial bias, and intergroup perception (Black vs. White boys), including attitudes about innocence, responsibility, and police violence—core topics in social cognition and intergroup relations. The journal (JPSP) is also a flagship social psychology outlet, reinforcing this classification.",social_psychology,Social Psychology,0.98
10.1111/j.1467-9280.2006.01704.x,"One way to make judgments under uncertainty is to anchor on information that comes to mind and adjust until a plausible estimate is reached. This anchoring-and-adjustment heuristic is assumed to underlie many intuitive judgments, and insufficient adjustment is commonly invoked to explain judgmental biases. However, despite extensive research on anchoring effects, evidence for adjustment-based anchoring biases has only recently been provided, and the causes of insufficient adjustment remain unclear. This research was designed to identify the origins of insufficient adjustment. The results of two sets of experiments indicate that adjustments from self-generated anchor values tend to be insufficient because they terminate once a plausible value is reached (Studies 1a and 1b) unless one is able and willing to search for a more accurate estimate (Studies 2a-2c).",The Anchoring-and-Adjustment Heuristic,Psychological Science,"The article investigates cognitive mechanisms of judgment under uncertainty (anchoring-and-adjustment heuristic) using psychological experiments, published in Psychological Science, clearly situating it in cognitive psychology.",psychology,Psychology,1,"The article investigates the anchoring-and-adjustment heuristic in judgment under uncertainty, focusing on cognitive processes underlying heuristic use and bias. This fits squarely within research on judgment and decision making and heuristics, a core area of cognitive psychology.",cognitive_psychology,Cognitive Psychology,0.98
10.1177/0956797612449177,"Americans’ attitudes about the environment are highly polarized, but it is unclear why this is the case. We conducted five studies to examine this issue. Studies 1a and 1b demonstrated that liberals, but not conservatives, view the environment in moral terms and that this tendency partially explains the relation between political ideology and environmental attitudes. Content analyses of newspaper op-eds (Study 2a) and public-service announcements (Study 2b) found that contemporary environmental discourse is based largely on moral concerns related to harm and care, which are more deeply held by liberals than by conservatives. However, we found that reframing proenvironmental rhetoric in terms of purity, a moral value resonating primarily among conservatives, largely eliminated the difference between liberals’ and conservatives’ environmental attitudes (Study 3). These results establish the importance of moralization as a cause of polarization on environmental attitudes and suggest that reframing environmental discourse in different moral terms can reduce the gap between liberals and conservatives in environmental concern.",The Moral Roots of Environmental Attitudes,Psychological Science,"The article investigates how moral values underlie liberals’ and conservatives’ environmental attitudes, using multiple psychological studies and moral framing; it is grounded in psychological theory and methods rather than political institutions or policy analysis. Therefore it belongs to Psychology.",psychology,Psychology,0.97,"The article examines attitudes, moral framing, and ideological differences in environmental concern, focusing on persuasion and polarization between social groups (liberals vs. conservatives). These are core topics in social psychology, centered on attitudes and social influence rather than cognition per se or other domains.",social_psychology,Social Psychology,0.97
10.1037/0096-3445.136.2.241,"This research tested the hypothesis that initial efforts at executive control temporarily undermine subsequent efforts at executive control. Four experiments revealed that controlling the focus of visual attention (Experiment 1), inhibiting predominant writing tendencies (Experiment 2), taking a working memory test (Experiment 3), or exaggerating emotional expressions (Experiment 4) undermined performance on subsequent tests of working memory span, reverse digit span, and response inhibition, respectively. The results supported a limited resource model of executive control and cast doubt on competing accounts based on mood, motivation, or task difficulty. Prior efforts at executive control are a significant contextual determinant of the operation of executive processes.","Attention control, memory updating, and emotion regulation temporarily reduce the capacity for executive control.",Journal of Experimental Psychology General,"The article investigates executive control, attention, working memory, and emotion regulation using experimental methods and is published in a core psychology journal, making its primary contribution clearly psychological/cognitive. It does not focus on economic, sociological, or medical aspects.",psychology,Psychology,1,"The article experimentally examines executive control, attention, working memory, and inhibition, testing a limited-resource model of executive processes. These are core topics in cognitive psychology, with no primary focus on social, clinical, or other applied domains.",cognitive_psychology,Cognitive Psychology,0.97
10.1037/0021-9010.77.4.419,"Previous research suggests that decision makers have a tendency to become locked into courses of action—to throw good money after bad in dealing with losing projects. The present study directly compared the effectiveness of several deescalation strategies designed to make decision makers more responsive to the available evidence. Three deescalation procedures were found to be most effective: (a) making negative outcomes less threatening; (b) setting minimum target levels that, if not achieved, would lead to a change in policy; and (c) evaluating decision makers on the basis of their decision process rather than outcome. The theoretical and practical implications of each of these strategies are discussed. A long stream of empirical research has investigated the commitment of decision makers to losing courses of action. Under the rubrics of sunk cost effects (Arkes & Blumer, 1985; Garland & Newport, in press), entrapment (Brockner & Rubin, 1985), too much invested to quit (Tegar, 1980), and the escalation of commitment (Staw, 1976,1981), numerous studies have shown how individuals can become locked into failing courses of action. To date, this literature has isolated a wide variety of determinants of behavior in escalation situations, ranging from psychological to social, organizational, and project concerns not typically dealt with in the economics of investment (Staw & Ross, 1987). Much of the research in this area has focused on the determinants of escalation, and little attention has yet been given to procedures that might help people avoid the escalation trap. This is unfortunate because, just as debiasing research has helped behavioral decision theory provide policy recommendations (e.g., Fischhoff, 1982), deescalation research could potentially aid managers in avoiding the overcommitment of resources. So far, however, only the rudiments of a deescalation literature are in place. In such a stream of research, one might place Tegar's (1980) and Brockner, Shaw, and Rubin's (1979) studies showing that limit-setting can reduce escalation. Also in this group would be Nathanson et al.'s (1982) experiment showing that information about the problem of entrapment can deter individuals from initially engaging in an escalation situation. McCain's (1986) experiment showing the reduction of investment when losses are repeated and clear-cut, as well as Staw and Ross's (1987) more general discussion of possible techniques for reducing escalation are also relevant. Nonetheless,",Deescalation strategies: A comparison of techniques for reducing commitment to losing courses of action.,Journal of Applied Psychology,"The article is an experimental/empirical study on decision-making biases (escalation of commitment, sunk cost) and tests de-escalation strategies, framed within behavioral decision theory and published in the Journal of Applied Psychology. Its core contribution is psychological, not economic or managerial theory, so it fits squarely in Psychology.",psychology,Psychology,1,"The article examines escalation of commitment, sunk cost effects, and de-escalation strategies in decision making, focusing on how to make decision makers more responsive to evidence. These are classic topics in judgment and decision making and cognitive biases, which fall squarely under cognitive psychology rather than occupational psychology, even though managers are mentioned as an applied context.",cognitive_psychology,Cognitive Psychology,0.9
10.1111/j.1551-6709.2011.01210.x,"Abstract While there is much evidence for the influence of automatic emotional responses on moral judgment, the roles of reflection and reasoning remain uncertain. In Experiment 1, we induced subjects to be more reflective by completing the Cognitive Reflection Test (CRT) prior to responding to moral dilemmas. This manipulation increased utilitarian responding, as individuals who reflected more on the CRT made more utilitarian judgments. A follow‐up study suggested that trait reflectiveness is also associated with increased utilitarian judgment. In Experiment 2, subjects considered a scenario involving incest between consenting adult siblings, a scenario known for eliciting emotionally driven condemnation that resists reasoned persuasion. Here, we manipulated two factors related to moral reasoning: argument strength and deliberation time. These factors interacted in a manner consistent with moral reasoning: A strong argument defending the incestuous behavior was more persuasive than a weak argument, but only when increased deliberation time encouraged subjects to reflect.",Reflection and Reasoning in Moral Judgment,Cognitive Science,"The article experimentally studies how reflection, reasoning, and emotional responses shape individual moral judgments, using psychological constructs (Cognitive Reflection Test, trait reflectiveness, deliberation time) and lab experiments. This is squarely within cognitive and moral psychology rather than philosophy or another social science.",psychology,Psychology,0.97,"The article experimentally manipulates cognitive reflection, deliberation time, and argument strength to study their effects on moral judgment, focusing on reasoning processes rather than social interaction or clinical issues. Its core contribution concerns cognitive mechanisms (reflection vs. automatic emotional responses) underlying moral decision-making, aligning best with cognitive psychology.",cognitive_psychology,Cognitive Psychology,0.93
10.1111/j.1467-9280.2009.02426.x,"Four studies show that the abstract concept of importance is grounded in bodily experiences of weight. Participants provided judgments of importance while they held either a heavy or a light clipboard. Holding a heavy clipboard increased judgments of monetary value (Study 1) and made participants consider fair decision-making procedures to be more important (Study 2). It also caused more elaborate thinking, as indicated by higher consistency between related judgments (Study 3) and by greater polarization of agreement ratings for strong versus weak arguments (Study 4). In line with an embodied perspective on cognition, these findings suggest that, much as weight makes people invest more physical effort in dealing with concrete objects, it also makes people invest more cognitive effort in dealing with abstract issues.",Weight as an Embodiment of Importance,Psychological Science,"The article investigates how bodily sensations (weight) influence abstract judgments and cognitive processing, using experimental methods and embodied cognition theory, which are core to psychological science. The journal Psychological Science is also a flagship psychology journal, reinforcing this classification.",psychology,Psychology,1,"The article investigates how bodily sensations (weight) influence judgments of importance, argument strength, and cognitive effort—core topics in cognition and judgment/decision-making, framed within embodied cognition. Although there is some social content (fair procedures), the primary theoretical focus is on cognitive processes and representations. Therefore it best fits Cognitive Psychology.",cognitive_psychology,Cognitive Psychology,0.9
10.1111/j.1467-9280.2007.02004.x,"Past research shows that self-control is limited and becomes depleted after initial exertions. This study examined the neural processes underlying self-control failure by testing whether controlled, effortful behavior impairs subsequent attempts at control by depleting the neural system associated with conflict monitoring. Subjects either watched an emotional movie normally or tried to suppress their emotions while watching the movie; they then completed an ostensibly unrelated Stroop task while electroencephalographic activity was recorded. The error-related negativity (ERN)—a waveform associated with activity in the anterior cingulate—was measured to determine whether prior regulatory exertion constrained the conflict-monitoring system. Compared with subjects in the control condition, those who suppressed their emotions performed worse on the Stroop task, and this deficit was mediated by weaker ERN signals. These results offer a neural account for the self-regulatory-strength model and demonstrate the utility of the social neuroscience approach.",Running on empty: neural signals for self-control failure,Psychological Science,"The article investigates self-control failure using EEG measures of error-related negativity within a social neuroscience framework, grounded in psychological theories of self-regulation. This is squarely within experimental psychology rather than medicine or economics.",psychology,Psychology,1,"The article investigates self-control depletion using a Stroop task and EEG measures of conflict monitoring (ERN, anterior cingulate), focusing on controlled, effortful behavior and its impact on subsequent cognitive control. The core constructs are self-control, conflict monitoring, and performance on a classic cognitive task, which fits squarely within cognitive psychology rather than social or clinical domains, despite the social neuroscience framing.",cognitive_psychology,Cognitive Psychology,0.86
