doi,title,source_display_name,cluster_manual,cluster_llm,confidence,secondary_cluster_llm,secondary_confidence
10.1016/j.cognition.2015.01.013,Causal superseding,Cognition,philosophy,psychology,0.98,NA,NA
10.1177/0267658310386439,L3 syntactic transfer selectivity and typological determinacy: The typological primacy model,Second language Research,psychology,general_comparative_literature_linguistics,0.96,NA,NA
10.1016/j.cognition.2013.02.008,Lay denial of knowledge for justified true beliefs,Cognition,philosophy,psychology,0.95,philosophy,0.6
10.1073/pnas.2014505117,The logic of universalization guides moral judgment,Proceedings of the National Academy of Sciences,philosophy,psychology,0.95,NA,NA
10.1111/lang.12161,The Role of Inhibitory Control in Second Language Phonological Processing,Language Learning,education,general_comparative_literature_linguistics,0.95,psychology,0.6
djärv_2018,Cognitive vs. emotive factives: An experimental differentiation,NA,psychology,general_comparative_literature_linguistics,0.92,NA,NA
10.1002/pam.21702,An Experimental Test of the Expectancy-Disconfirmation Theory of Citizen Satisfaction,Journal of Policy Analysis and Management,political_science,public_administration,0.92,political_science,0.68
10.1177/0001839219840022,Too Good to Hire? Capability and Inferences about Commitment in Labor Markets,Administrative Science Quarterly,public_administration,economics_business,0.92,NA,NA
10.1080/09515089.2014.894431,Motivational internalism and folk intuitions,Philosophical Psychology,psychology,philosophy,0.92,psychology,0.58
10.1073/pnas.1707719114,Americans misperceive racial economic equality,Proceedings of the National Academy of Sciences,economics_business,psychology,0.9,sociology_social_sciences,0.6
10.1126/science.1211180,Affirmative Action Policies Promote Women and Do Not Harm Efficiency in the Laboratory,Science,psychology,economics_business,0.9,sociology_social_sciences,0.5
10.1073/pnas.1616921114,Demotivating incentives and motivation crowding out in charitable giving,Proceedings of the National Academy of Sciences,psychology,economics_business,0.9,psychology,0.7
10.1073/pnas.1511536112,High economic inequality leads higher-income individuals to be less generous,Proceedings of the National Academy of Sciences,economics_business,psychology,0.86,economics_business,0.58
10.1073/pnas.1706253114,Exposure to rising inequality shapes Americans’ opportunity beliefs and policy support,Proceedings of the National Academy of Sciences,psychology,political_science,0.85,psychology,0.6
10.1002/(SICI)1099-0771(199806)11:2%3C107::AID-BDM292%3E3.0.CO;2-Y,Less is better: when low-value options are valued more highly than high-value options,NA,economics_business,psychology,0.85,NA,NA
10.1111/j.1468-0017.2006.00297.x,A Dissociation Between Moral Judgments and Justifications,Mind & Language,philosophy,psychology,0.85,philosophy,0.6
10.1073/pnas.1704032114,Evolution of flexibility and rigidity in retaliatory punishment,Proceedings of the National Academy of Sciences,psychology,biology,0.85,economics_business,0.6
10.1126/science.1222426,Some Consequences of Having Too Little,Science,psychology,economics_business,0.82,psychology,0.65
10.1073/pnas.1606574113,When fairness matters less than we expect,Proceedings of the National Academy of Sciences,psychology,economics_business,0.75,psychology,0.6
