doi,cluster_gemini,secondary_cluster_gemini,confidence_gemini,cluster_manual,agree,agree_any,cluster_gpt,confidence_gpt,secondary_cluster_gpt,field_gpt,secondary_field_gpt,gem_vs_manual,gpt_vs_manual,gem_vs_gpt
10.1037/0022-3514.94.3.545,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,biological_neuropsychology,TRUE,TRUE,TRUE
10.1037/0096-3445.136.2.241,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1037/a0034462,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,social_psychology,TRUE,TRUE,TRUE
10.1177/0956797611428079,psychology,sociology_social_sciences,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1002/jeab.705,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1126/science.1191465,psychology,education,0.95,psychology,TRUE,TRUE,psychology,0.96,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1073/pnas.1706253114,psychology,political_science,0.85,psychology,TRUE,TRUE,political_science,0.85,psychology,social_psychology,NA,TRUE,FALSE,FALSE
10.1073/pnas.1620542114,psychology,media_communication_studies,0.95,psychology,TRUE,TRUE,psychology,0.92,media_communication_studies,social_psychology,NA,TRUE,TRUE,TRUE
10.1037/0022-3514.95.2.274,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1037/0278-7393.34.1.243,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1551-6709.2011.01210.x,psychology,philosophy,0.95,psychology,TRUE,TRUE,psychology,0.95,NA,cognitive_psychology,social_psychology,TRUE,TRUE,TRUE
10.1037/0278-7393.34.2.302,psychology,general_comparative_literature_linguistics,0.99,psychology,TRUE,TRUE,psychology,0.98,NA,cognitive_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797618760784,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.98,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797618788882,psychology,political_science,0.99,psychology,TRUE,TRUE,psychology,0.97,NA,social_psychology,NA,TRUE,TRUE,TRUE
10.1111/j.1467-9280.2008.02069.x,psychology,NA,1,psychology,TRUE,TRUE,psychology,0.99,NA,developmental_psychology,NA,TRUE,TRUE,TRUE
10.1177/0956797615625640,psychology,economics_business,0.99,psychology,TRUE,TRUE,psychology,0.95,health_sciences_general,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
10.1073/pnas.1701916114,psychology,NA,0.99,psychology,TRUE,TRUE,psychology,0.97,NA,social_psychology,cognitive_psychology,TRUE,TRUE,TRUE
