doi,title,abstract,source_display_name,cluster_id,confidence,secondary_cluster_id,secondary_confidence,reasoning,field_id,field_confidence,field_reasoning
10.1002/acp.1692,The effect of background music and noise on the cognitive test performance of introverts and extraverts,"Previous research has found that the performance of introverts on complex cognitive tasks is more negatively affected by distracters, e.g. music and background noise, than the performance of extraverts. The present study extends previous research by examining whether or not background noise would prove to be as distracting as music. In the presence of silence, background UK garage music and background noise, 118 female secondary school students carried out three cognitive tests. It was predicted that introverts would do less well on all of the tasks than extraverts in the presence of music and noise but in silence performance would be the same. A significant interaction was found on all three of the tasks. It was also predicted that there would be a main effect of background sound: Performance would be worse in the presence of music and noise than silence. Results confirmed this prediction with one exception. This study also found a positive correlation between extraversion and intelligence, the implications of which are also discussed. The findings support the Eysenckian hypothesis of the difference in optimum cortical arousal in introverts and extraverts. Copyright © 2010 John Wiley & Sons, Ltd.",Applied Cognitive Psychology,psychology,0.99,NA,NA,"We need to classify the article. Journal: Applied Cognitive Psychology. That's a psychology journal. The article is about effect of background music/noise on cognitive test performance, personality traits (introversion/extraversion). This is clearly psychology (cognitive, personality). So primary cluster: ""psychology"". Confidence high, maybe 0.99. No secondary needed.

Return JSON with cluster_id ""psychology"", confidence 0.99, secondary null.

",cognitive_psychology,0.97,"We need to classify. The article is about effect of background music/noise on cognitive test performance, personality traits (introversion/extraversion) and cognitive performance. Journal is Applied Cognitive Psychology, which is a cognitive psychology journal. So field: cognitive_psychology. Confidence high, maybe 0.97.

Return JSON with field_id and confidence."
10.1002/acp.2878,Spatial and Temporal Details in Intentions: A Cue to Detecting Deception,"Summary Research into lying about intentions is relatively new. Studies have suggested that lying about intentions can be detected with statement analysing methods. This article describes two experiments. The first experiment investigates how much spatial and temporal detail is given by people who are discussing a true or false intention in a 26‐question interview. The results showed that those with a true intention gave more spatial and temporal details. The second experiment examines these details in a one‐question interview and whether the amount of temporal detail given can be manipulated by the phrasing of the question. The results showed that the amount of detail is much lower in these short interviews, but can be increased with specific phrasing. The theoretical and practical implications of these results are discussed. Copyright © 2012 John Wiley & Sons, Ltd.",Applied Cognitive Psychology,psychology,0.97,NA,NA,"We need to classify article. Journal: Applied Cognitive Psychology. That's a psychology journal (cognitive psychology). So cluster: psychology.

Check if any multidisciplinary? It's about deception detection, intentions, cognitive processes. So primary: psychology.

Confidence high, maybe 0.97.

No secondary.

Return JSON.",cognitive_psychology,0.95,"We need to classify the article into one of the fields. The journal is ""Applied Cognitive Psychology"". That suggests cognitive psychology. The article is about detecting deception via spatial and temporal details in intentions, focusing on details in statements, which is about cognition (memory, detail recall) and perhaps social aspects (deception). But primary focus is on cognitive processes of detail generation, memory, and detection. So cognitive psychology is appropriate.

Check if any other subfield fits better: Social psychology deals with deception, but the focus is on cues to detect deception, which is more about cognitive aspects of lying and memory. The journal is cognitive. So field_id = ""cognitive_psychology"". Confidence high, maybe 0.95.

Return JSON."
10.1002/acp.3471,Inconsistent operations: A weapon of math disruption,"Summary Word problems embed a math equation within a short narrative. Due to their structure, both numerical and linguistic factors can contribute to problem difficulty. The present studies explored the role of irrelevant information in word problems, to determine whether its negative impact is due to numerical (foregrounding hypothesis) or linguistic (inconsistent‐operations hypothesis) interference. Across three experiments, participants solved multiplication and division word problems containing irrelevant numerical information, which was either associated or disassociated with the protagonist. Results demonstrated increased solution errors on division problems when irrelevant numbers were disassociated with the protagonist. When memory for numerical information was emphasized, disassociation was specifically impacted low‐working memory individuals. The effect of disassociation on division performance persisted even when irrelevant numbers, but not words, were removed from problems. These results suggest that, even in the presence of numerically interfering information, it is the language of word problems that often drive their difficulty.",Applied Cognitive Psychology,psychology,0.96,NA,NA,"We need to classify the article. Journal: Applied Cognitive Psychology. That's a psychology journal (cognitive psychology). So primary cluster: psychology.

Check if any multidisciplinary? The article is about math word problems, cognitive processing, language vs numerical interference. It's within cognitive psychology, maybe also education? But primary is psychology. Could also be education (math education) but the journal is psychology, so we follow rule: rely on journal title. So primary cluster: psychology.

Confidence high, maybe 0.95.

Secondary cluster? Could be education (math education) but not needed. Probably null.

Return JSON.",cognitive_psychology,0.96,"We need to classify the article into one of the fields. The article is about word problems, math, cognitive processing, language interference, working memory. Journal is Applied Cognitive Psychology, which is a cognitive psychology journal. So field: cognitive_psychology. Confidence high, maybe 0.95."
10.1002/dev.20062,Handedness and specific language impairment: A study of 6-year-old twins,"Handedness and language skills were assessed in 196 same-sex twin pairs (101 MZ and 95 DZ), who were selected from an epidemiological study of twins, so that children with risk of language impairment were over-represented. When assessed at 6 years of age, 83 children met criteria for specific language impairment (SLI), 32 had general developmental (GD) delay, and the remaining 277 were typically-developing (TD). Hand preference (HP) assessed by inventory did not distinguish SLI, TD, or GD groups. The quantification of hand preference (QHP) measure, which measures persistence of a HP when reaching across the midline, did show weaker HP in those with SLI compared to the other two groups. It is suggested that the QHP measure assesses developmental aspects of manual lateralization, and is sensitive to neurodevelopmental immaturity in SLI. Furthermore, genetic analysis showed that the QHP measure, unlike the handedness inventory, was significantly heritable.",Developmental Psychobiology,psychology,0.97,NA,NA,"We need to classify. Journal: Developmental Psychobiology. That's a journal in psychology, specifically developmental psychology, psychobiology. So cluster likely ""psychology"". It's about handedness, language impairment, twins, developmental aspects. So primary cluster: psychology.

Check if any other cluster? Could be ""health_sciences_general""? No, it's about developmental psych. So psychology.

Confidence high, maybe 0.97.

No secondary.

Return JSON.",developmental_psychology,0.9,"We need to classify the article into one of the fields.

Article title: ""Handedness and specific language impairment: A study of 6-year-old twins"". Abstract: about handedness, language impairment, developmental aspects, neurodevelopmental immaturity, genetic analysis, heritability. Journal: Developmental Psychobiology.

The journal suggests developmental focus. The article deals with specific language impairment (SLI) in children, developmental aspects, genetics, handedness. This is developmental psychology, possibly also biological/neuropsychology. But the primary focus is on developmental aspects of language impairment and handedness in children. The field ""developmental_psychology"" seems appropriate. The description: Development across lifespan, childhood/adolescence, cognitive/social/emotional/moral development. This fits.

Could it be ""biological_neuropsychology""? It mentions neurodevelopmental immaturity, genetics, handedness. But the main focus is on developmental language impairment, not brain imaging. So developmental.

Thus field_id: ""developmental_psychology"". Confidence maybe 0.9.

Return JSON."
10.1002/ejsp.127,Social inequality and the reduction of ideological dissonance on behalf of the system: evidence of enhanced system justification among the disadvantaged,"Abstract According to system justification theory, people are motivated to preserve the belief that existing social arrangements are fair, legitimate, justifiable, and necessary. The strongest form of this hypothesis, which draws on the logic of cognitive dissonance theory, holds that people who are most disadvantaged by the status quo would have the greatest psychological need to reduce ideological dissonance and would therefore be most likely to support, defend, and justify existing social systems, authorities, and outcomes. Variations on this hypothesis were tested in five US national survey studies. We found that (a) low‐income respondents and African Americans were more likely than others to support limitations on the rights of citizens and media representatives to criticize the government; (b) low‐income Latinos were more likely to trust in US government officials and to believe that ‘the government is run for the benefit of all’ than were high‐income Latinos; (c) low‐income respondents were more likely than high‐income respondents to believe that large differences in pay are necessary to foster motivation and effort; (d) Southerners in the USA were more likely to endorse meritocratic belief systems than were Northerners and poor and Southern African Americans were more likely to subscribe to meritocratic ideologies than were African Americans who were more affluent and from the North; (e) low‐income respondents and African Americans were more likely than others to believe that economic inequality is legitimate and necessary; and (f) stronger endorsement of meritocratic ideology was associated with greater satisfaction with one's own economic situation. Taken together, these findings are consistent with the dissonance‐based argument that people who suffer the most from a given state of affairs are paradoxically the least likely to question, challenge, reject, or change it. Implications for theories of system justification, cognitive dissonance, and social change are also discussed. Copyright © 2002 John Wiley & Sons, Ltd.",European Journal of Social Psychology,psychology,0.95,NA,NA,"We need to classify. Journal: European Journal of Social Psychology. That's a psychology journal. Article deals with system justification, social inequality, ideological dissonance. It's about psychological processes (system justification theory) applied to social groups. So primary cluster: psychology.

Check if also sociology? The article deals with social inequality, but framed in psychological theory. According to guidelines: ""Psychology vs Sociology: Individual processes vs social structure/institutions"". This article focuses on individual-level psychological motivations (system justification) and uses surveys. So primary: psychology.

Potential secondary: sociology? Could be considered sociological because about social inequality and system justification, but the framing is psychological. The guidelines say if genuinely spans two disciplines, assign secondary. Here it's mainly psychology. Might assign secondary sociology with lower confidence? But likely not needed. I'd give primary psychology with high confidence 0.95, secondary null.

Return JSON.",social_psychology,0.98,"We need to classify the article into one of the fields. The article is about system justification, ideological dissonance, disadvantaged groups supporting the system. This is clearly social psychology: attitudes, system justification, social cognition, group dynamics. Journal is European Journal of Social Psychology, which is a social psychology journal. So field_id = ""social_psychology"". Confidence high, maybe 0.98.

Return JSON with field_id and confidence."
10.1002/jip.55,From marine ecology to crime analysis: Improving the detection of serial sexual offences using a taxonomic similarity measure,"Abstract Jaccard has been the choice similarity metric in ecology and forensic psychology for comparison of sites or offences, by species or behaviour. This paper applies a more powerful hierarchical measure�""taxonomic similarity (�""s), recently developed in marine ecology�""to the task of behaviourally linking serial crime. Forensic case linkage attempts to identify behaviourally similar offences committed by the same unknown perpetrator (called linked offences). �""s considers progressively higher‐level taxa, such that two sites show some similarity even without shared species. We apply this index by analysing 55 specific offence behaviours classified hierarchically. The behaviours are taken from 16 sexual offences by seven juveniles where each offender committed two or more offences. We demonstrate that both Jaccard and �""s show linked offences to be significantly more similar than unlinked offences. With up to 20% of the specific behaviours removed in simulations, �""s is equally or more effective at distinguishing linked offences than where Jaccard uses a full data set. Moreover, �""s retains significant difference between linked and unlinked pairs, with up to 50% of the specific behaviours removed. As police decision‐making often depends upon incomplete data, �""s has clear advantages and its application may extend to other crime types. Copyright © 2007 John Wiley & Sons, Ltd.",Journal of Investigative Psychology and Offender Profiling,psychology,0.96,NA,NA,"We need to assign cluster. Journal: ""Journal of Investigative Psychology and Offender Profiling"". This is a psychology journal focusing on forensic psychology, offender profiling. So primary cluster likely Psychology. The article applies ecological similarity measure to crime analysis, but it's within forensic psychology. So Psychology.

Check if any secondary: Could be criminology (not in list). Could be sociology? But it's about offender profiling, which is psychology. So primary Psychology.

Confidence high, maybe 0.95.

Return JSON.",methods_evaluation_psychology,0.9,"We need to classify this article into one of the fields.

Article title: ""From marine ecology to crime analysis: Improving the detection of serial sexual offences using a taxonomic similarity measure"". Abstract: about applying a similarity metric from ecology to forensic psychology (crime analysis). Journal: ""Journal of Investigative Psychology and Offender Profiling"". This is a forensic psychology / offender profiling journal. The content is about forensic psychology, specifically crime linkage, which is a subfield of forensic psychology, but among the given fields, which is best? Options: social psychology, cognitive, clinical, developmental, biological, educational, occupational, differential/personality, methods, general.

The article is about a methodological contribution (a new similarity measure) applied to forensic crime analysis. It's a method for linking crimes. Could be considered ""Methods & Evaluation in Psychology"" because it's a new measurement model (taxonomic similarity) applied to forensic psychology. However the primary contribution is a new similarity metric (method) but applied to forensic psychology. The journal is investigative psychology, which is a subfield of forensic psychology, but not listed. The article is about measurement of similarity between offences, which is a methodological contribution. The description for ""Methods & Evaluation in Psychology"": research methods, measurement models, psychometrics, program evaluation, statistical methods. This fits.

Alternatively, could be ""social_psychology""? It deals with attitudes, prejudice, group dynamics, but not really. It's about crime linking, not social.

""Occupational"" no.

""Clinical"" no.

""Biological"" no.

""Cognitive"" maybe because it's about perception of patterns? But the core is a method.

Thus best is ""methods_evaluation_psychology"". Confidence high, maybe 0.9.

Return JSON."
10.1006/jesp.2001.1488,The Influence of Approach and Avoidance Motor Actions on Creative Cognition,"This study tested whether internal nonaffective processing cues independently influence two major varieties of creative cognition: insight problem solving and creative generation. In Experiments 1 and 2, bodily cues associated with positive or negative hedonic states were manipulated by means of arm flexor or extensor contraction, respectively, and the effects of these internal cues on creative insight and generation were observed. In line with our cognitive tuning approach, it was predicted that the ""riskier,"" more explorative processing style elicited by arm flexion, relative to the more risk-averse, perseverant processing style elicited by arm extension, would facilitate performance on both tasks. These predictions were strongly supported. In addition, Experiments 3 and 4 provided the first direct evidence that the effects of these internal processing cues on creativity are mediated by a memory search-based mechanism. Reported effects were independent of mood, task enjoyment, and the effortfulness of the motor actions. © 2001 Elsevier Science.",Journal of Experimental Social Psychology,psychology,0.98,NA,NA,"We need to assign cluster based on journal title: Journal of Experimental Social Psychology. That's a psychology journal, specifically social psychology. So primary cluster: psychology.

Check if any multidisciplinary? The article is about motor actions influencing creative cognition, linking embodied cognition, creativity. Still within psychology. So primary cluster = ""psychology"". Confidence high, maybe 0.98.

No secondary.

Return JSON.",social_psychology,0.8,"We need to classify. The article is about motor actions influencing creative cognition. Journal is Journal of Experimental Social Psychology. That is a social psychology journal, but the article content is about cognitive processes (creativity) and motor cues, not about social interaction. However the journal is social psychology, but classification should rely primarily on journal title if it indicates a specific subfield. Journal title includes ""Social Psychology"". So we might classify as Social Psychology? But the content is about cognitive tuning, internal cues, creative cognition, not about social processes. The instruction: ""Classification should rely primarily on the journal title where it indicates a specific subfield."" So if journal is ""Journal of Experimental Social Psychology"", that indicates Social Psychology subfield. So we should assign Social Psychology, even if content is cognitive. The rule says use journal title as primary indicator when it indicates a specific subfield. So field_id = ""social_psychology"". Confidence maybe 0.8 because content is not typical social but journal suggests."
10.1006/jevp.2000.0176,ARCHITECTS PREDICT LAY EVALUATIONS OF LARGE CONTEMPORARY BUILDINGS: WHOSE CONCEPTUAL PROPERTIES?,"Evidence suggests that architects as a group cannot predict the public's aesthetic evaluations of architecture. In this study, practicing architects predicted laypersons' responses to large contemporary building, and again these predictions were poorly correlated with ratings by laypersons, although some architects' predictions were better than others, and architects were able to predict accurately that lay ratings in general would be more favourable than their own. To understand why most architects are unable to predict reactions to particular buildings, the architects' predictions were analysed in relation to their own and lay ratings of the buildings' conceptual properties. The results suggest that architects are unable to exchange their own criteria for conceptual properties for those of laypersons when they predict public evaluations, which leads to self-anchored, inaccurate predictions. This was supported by showing that the best-predicting architects related their evaluations to buildings' conceptual properties in a manner similar to that of the laypersons. Implications for design are suggested. © 2001 Academic Press.",Journal of Environmental Psychology,psychology,0.95,architecture,0.6,"We need to classify article. Journal: Journal of Environmental Psychology. That's a psychology journal, specifically environmental psychology, which is a subfield of psychology. So primary cluster: psychology.

Check if multidisciplinary? The article is about architects predicting lay evaluations, which is about design, architecture, maybe also environmental psychology. But still core is psychological processes of perception, prediction. So psychology primary. Could secondary be architecture? There's a cluster ""architecture"". But the article is about architects' predictions, but the study is psychological. The journal is psychology, so primary psychology. Secondary maybe architecture? The guidelines: For multidisciplinary articles, assign secondary if genuinely spans two disciplines. This does span architecture (practicing architects) and psychology (prediction). Could assign secondary architecture. Confidence: high for primary (0.95). Secondary moderate (0.6). Return JSON.",social_psychology,0.85,"We need to classify the article into a subfield.

Article title: ""ARCHITECTS PREDICT LAY EVALUATIONS OF LARGE CONTEMPORARY BUILDINGS: WHOSE CONCEPTUAL PROPERTIES?"" Abstract: about architects predicting laypersons' aesthetic evaluations of architecture. It's about perception, judgment, aesthetic evaluation, maybe social cognition? The journal is Journal of Environmental Psychology. Environmental psychology is about human-environment interactions, often falls under social psychology? Could be cognitive? The study examines how architects predict lay evaluations, focusing on conceptual properties, judgments. This is about perception, judgment, maybe social cognition (understanding others' evaluations). Could be social psychology (attitudes, judgments about others). But also could be cognitive psychology (perception, judgment). Environmental psychology is often considered a subfield of social psychology, but the article is about predicting others' evaluations, which is a social cognition task. The core contribution is about how experts predict lay judgments, which is about perspective taking, social cognition, maybe theory of mind. That aligns with social psychology.

Check guidelines: Social Psychology includes attitudes, persuasion, social influence, stereotypes, group dynamics, social cognition. This is about predicting lay evaluations, which is social cognition. So likely Social Psychology.

Not occupational, not clinical, not developmental, not educational, not methods. So choose ""social_psychology"". Confidence maybe 0.85.

Return JSON."
10.1006/jmla.1996.0032,Word Segmentation: The Role of Distributional Cues,"One of the infant's first tasks in language acquisition is to discover the words embedded in a mostly continuous speech stream. This learning problem might be solved by using distributional cues to word boundaries�""for example, by computing the transitional probabilities between sounds in the language input and using the relative strengths of these probabilities to hypothesize word boundaries. The learner might be further aided by language-specific prosodic cues correlated with word boundaries. As a first step in testing these hypotheses, we briefly exposed adults to an artificial language in which the only cues available for word segmentation were the transitional probabilities between syllables. Subjects were able to learn the words of this language. Furthermore, the addition of certain prosodic cues served to enhance performance. These results suggest that distributional cues may play an important role in the initial word segmentation of language learners.",Journal of Memory and Language,psychology,0.96,NA,NA,"We need to classify. Journal: Journal of Memory and Language. That's a psychology journal, specifically cognitive psychology / psycholinguistics. So cluster: psychology. Could also be linguistics? But the journal is in psychology. The article is about infant language acquisition, word segmentation, distributional cues. That's cognitive psychology, psycholinguistics. So primary cluster: psychology.

Confidence high, maybe 0.95.

Secondary? Could be education? No. Could be linguistics? But the journal is psychology, and the article is about language acquisition, which is often in psychology. So no secondary.

Return JSON.",cognitive_psychology,0.97,"We need to classify the article into one of the fields. The article is about word segmentation, language acquisition, distributional cues, transitional probabilities, prosodic cues. This is about language learning, perception, memory, cognitive processes. Journal is Journal of Memory and Language, which is a cognitive psychology / psycholinguistics journal. So the appropriate field is cognitive_psychology. It's about perception, attention, memory, language, learning. So field_id = ""cognitive_psychology"". Confidence high, maybe 0.97."
10.1007/s00213-010-1872-1,Learning to dislike alcohol: conditioning negative implicit attitudes toward alcohol and its effect on drinking behavior,"RATIONALE: Since implicit attitudes toward alcohol play an important role in drinking behavior, a possible way to obtain a behavioral change is changing these implicit attitudes. OBJECTIVES: This study examined whether a change in implicit attitudes and in drinking behavior can be achieved via evaluative conditioning. METHODS: Participants were randomly assigned to an experimental condition and a control condition. In the experimental condition, participants were subjected to an evaluative conditioning procedure that consistently pairs alcohol-related cues with negative stimuli. In the control condition, alcohol-related cues were consistently paired with neutral stimuli during the evaluative conditioning phase. Implicit attitudes, explicit attitudes, and drinking behavior were measured before and after the evaluative conditioning phase. RESULTS: Following the evaluative conditioning procedure, participants in the experimental condition showed stronger negative implicit attitudes toward alcohol and consumed less alcohol compared to participants in the control condition. However, this effect was only found when the evaluative conditioning task paired alcohol-related cues with general negative pictures, but not when using pictures of frowning faces. CONCLUSIONS: These results demonstrate that evaluative conditioning can effectively change implicit attitudes toward alcohol and also suggest that this procedure can be used to change drinking behavior. Hence, evaluative conditioning may be a useful new intervention tool to combat alcohol misuse.",Psychopharmacology,psychology,0.96,NA,NA,"We need to assign cluster. Journal ""Psychopharmacology"" is a journal in psychology/psychiatry? It's a journal focusing on the effects of drugs on behavior, often in psychology and neuroscience. The article is about conditioning implicit attitudes toward alcohol and drinking behavior. This is a psychology study (social cognition, implicit attitudes). Could also be health behavior, but it's within psychology. Not medical clinical trial; it's experimental psychology. So primary cluster: ""psychology"". Confidence high, maybe 0.95. Secondary? Could be health sciences (public health) but the focus is on attitude change, not health policy. So likely just psychology. Return JSON.

",social_psychology,0.85,"We need to classify the article into one of the fields.

Article: ""Learning to dislike alcohol: conditioning negative implicit attitudes toward alcohol and its effect on drinking behavior"". It's about evaluative conditioning, implicit attitudes, behavior change, alcohol misuse. Journal: Psychopharmacology. That's a general psychopharmacology journal, but the article is about attitudes, conditioning, behavior change. This is about implicit attitudes, which is social cognition, but also could be considered cognitive psychology (attitudes, implicit attitudes, evaluative conditioning). Social psychology deals with attitudes, persuasion, stereotypes, prejudice. Implicit attitudes are often studied in social psychology. However, the focus is on conditioning and behavior change, which is more about learning (conditioning) and implicit attitudes, which is cognitive/ social. The journal is psychopharmacology, but that doesn't define subfield.

We need to decide between cognitive psychology, social psychology, maybe clinical? It's about alcohol misuse, but not about diagnosis or treatment, more about intervention via conditioning. Could be health behavior change, which is often social psychology (attitudes). The article deals with implicit attitudes, which is a social cognition topic, but also learning (conditioning) which is cognitive. The description for cognitive psychology includes learning, memory, reasoning, etc. It includes learning, but not necessarily conditioning of attitudes. Social psychology includes attitudes, persuasion, social influence, stereotypes, prejudice, group dynamics, social cognition. Attitudes are central to social psychology. So likely Social Psychology.

Check occupational? No. Educational? No. Methods? No. Differential? No. Biological? No. Clinical? Not about diagnosis/treatment, but about intervention. Could be considered clinical psychology? But it's not about therapy, more about conditioning as an intervention. Clinical psychology includes psychotherapy, mental health treatment. This is an intervention tool to combat alcohol misuse, could be considered clinical. However, the primary focus is on implicit attitudes and evaluative conditioning, which is more about attitude change, a social psychology domain.

Thus choose social_psychology.

Confidence maybe 0.85.

Return JSON."
